_id, type
1, image/png
33, image/jpeg
40, text/plain
49, audio/ogg
52, image/gif
53, text/html
59, application/json
87, text/x-perl
103, text/x-c
120, text/x-php
124, text/x-c++
142, image/svg+xml
185, text/x-asm
7086, application/zip
7101, text/xml
7164, application/java-archive
7185, text/x-java
18616, text/x-shellscript
19596, text/x-po
19759, text/x-msdos-batch
19816, text/x-python
20556, text/x-objective-c
20979, text/x-diff
21095, application/csv
21314, text/x-pascal
21462, text/x-ruby
24114, audio/x-wav
25689, text/x-makefile
25721, text/x-lisp
25724, text/x-tex
25831, application/octet-stream
25891, font/sfnt
25943, image/x-xcf
26630, image/bmp
26695, application/x-sqlite3
26736, image/vnd.microsoft.icon
26799, text/troff
